,c,h,l,o,s,t,v
1159,40.86,41.03,40.28,40.57,ok,2019-11-15 14:30:00,1278300
1160,41.53,41.61,40.71,41.39,ok,2019-11-18 14:30:00,1868000
1161,40.11,41.65,39.98,41.17,ok,2019-11-19 14:30:00,2187600
1162,39.75,40.21,39.22,39.99,ok,2019-11-20 14:30:00,2287100
1163,38.9,40.15,38.81,39.83,ok,2019-11-21 14:30:00,1688300
1164,39.41,40.1,39.21,39.25,ok,2019-11-22 14:30:00,2351800
1165,39.43,40.42,39.06,40.41,ok,2019-11-25 14:30:00,4969900
1166,46.77,47.79,43.53,43.91,ok,2019-11-26 14:30:00,18580800
1167,45.89,47.29,45.75,47.24,ok,2019-11-27 14:30:00,5478500
1168,45.81,46.35,45.15,45.57,ok,2019-11-29 14:30:00,1778800
1169,46.11,46.45,44.65,45.85,ok,2019-12-02 14:30:00,2824100
1170,45.67,45.82,44.73,45.16,ok,2019-12-03 14:30:00,3498000
1171,45.75,46.26,45.58,45.87,ok,2019-12-04 14:30:00,1812500
1172,45.91,46.38,45.63,45.69,ok,2019-12-05 14:30:00,1225800
1173,46.2,46.74,45.97,46.24,ok,2019-12-06 14:30:00,1886700
1174,47.59,48.33,46.36,46.43,ok,2019-12-09 14:30:00,2989300
1175,48.18,48.4,47.14,47.45,ok,2019-12-10 14:30:00,1669900
1176,48.17,48.78,47.95,48.18,ok,2019-12-11 14:30:00,1685400
1177,48.49,48.65,47.5,47.78,ok,2019-12-12 14:30:00,1325600
1178,47.92,48.39,47.35,48.32,ok,2019-12-13 14:30:00,2031200
1179,47.18,48.34,47.09,48.2,ok,2019-12-16 14:30:00,1621700
1180,47.45,47.53,46.95,47.25,ok,2019-12-17 14:30:00,1769800
1181,47.42,47.92,47.42,47.49,ok,2019-12-18 14:30:00,1330900
1182,47.32,47.72,46.99,47.67,ok,2019-12-19 14:30:00,1296700
1183,47.3,47.52,46.73,47.45,ok,2019-12-20 14:30:00,2148000
1184,47.13,47.41,46.6,47.3,ok,2019-12-23 14:30:00,1778000
1185,47.47,47.56,47.0,47.33,ok,2019-12-24 14:30:00,718000
1186,47.69,47.73,47.17,47.56,ok,2019-12-26 14:30:00,1307200
1187,48.22,48.52,47.5,47.61,ok,2019-12-27 14:30:00,1640500
1188,48.97,49.26,48.02,48.2,ok,2019-12-30 14:30:00,1517900
1189,49.49,49.8,49.08,49.1,ok,2019-12-31 14:30:00,1607000
1190,48.22,49.76,47.79,49.73,ok,2020-01-02 14:30:00,1929200
1191,47.64,48.21,47.48,47.69,ok,2020-01-03 14:30:00,1489400
1192,48.05,48.28,47.37,47.63,ok,2020-01-06 14:30:00,1617700
1193,48.27,48.66,47.57,47.91,ok,2020-01-07 14:30:00,1145900
1194,48.59,48.84,48.19,48.34,ok,2020-01-08 14:30:00,1372700
1195,48.2,48.8,47.9,48.69,ok,2020-01-09 14:30:00,1380100
1196,48.25,48.94,47.7,48.01,ok,2020-01-10 14:30:00,1185600
1197,49.23,49.26,47.8,48.38,ok,2020-01-13 14:30:00,1368600
1198,49.4,49.5,48.78,49.5,ok,2020-01-14 14:30:00,1257700
1199,48.45,49.29,47.88,49.0,ok,2020-01-15 14:30:00,1915900
1200,48.74,49.15,48.51,48.65,ok,2020-01-16 14:30:00,1053600
1201,48.24,48.96,48.01,48.94,ok,2020-01-17 14:30:00,808800
1202,47.82,48.48,47.47,48.22,ok,2020-01-21 14:30:00,1266800
1203,47.9,48.45,47.74,48.02,ok,2020-01-22 14:30:00,973200
1204,46.96,47.75,45.85,47.5,ok,2020-01-23 14:30:00,1842600
1205,45.93,47.09,45.65,46.97,ok,2020-01-24 14:30:00,1545600
1206,46.47,46.87,44.96,45.29,ok,2020-01-27 14:30:00,1271300
1207,46.23,46.74,45.67,46.64,ok,2020-01-28 14:30:00,1274100
1208,46.33,46.75,45.95,46.33,ok,2020-01-29 14:30:00,1008400
1209,45.43,46.37,45.33,46.11,ok,2020-01-30 14:30:00,1038600
1210,44.23,45.44,44.12,45.34,ok,2020-01-31 14:30:00,1365500
1211,43.91,45.15,43.84,44.39,ok,2020-02-03 14:30:00,1801200
1212,43.61,44.62,43.45,44.33,ok,2020-02-04 14:30:00,1609700
1213,45.45,45.6,43.75,43.86,ok,2020-02-05 14:30:00,1740700
1214,45.92,46.73,45.51,45.57,ok,2020-02-06 14:30:00,1282900
1215,44.22,46.18,43.77,45.77,ok,2020-02-07 14:30:00,1625300
1216,43.75,44.74,43.61,44.17,ok,2020-02-10 14:30:00,1267000
1217,44.06,44.53,43.27,43.5,ok,2020-02-11 14:30:00,1370600
1218,45.21,45.48,44.38,44.39,ok,2020-02-12 14:30:00,1688100
1219,44.77,45.09,44.14,44.95,ok,2020-02-13 14:30:00,1259500
1220,44.07,45.27,44.04,44.79,ok,2020-02-14 14:30:00,931800
1221,43.46,44.33,42.93,43.85,ok,2020-02-18 14:30:00,1460000
1222,43.31,43.77,42.85,43.51,ok,2020-02-19 14:30:00,1459600
1223,43.43,43.83,42.97,43.23,ok,2020-02-20 14:30:00,1837400
1224,42.36,43.64,42.05,43.29,ok,2020-02-21 14:30:00,1916400
1225,41.4,41.94,41.07,41.36,ok,2020-02-24 14:30:00,2520600
1226,40.71,42.37,40.65,41.69,ok,2020-02-25 14:30:00,1863900
1227,38.87,41.37,38.8,41.0,ok,2020-02-26 14:30:00,3026800
1228,37.55,39.04,36.94,38.01,ok,2020-02-27 14:30:00,2460500
1229,36.41,36.85,35.65,36.56,ok,2020-02-28 14:30:00,2725200
1230,36.48,36.79,35.16,36.79,ok,2020-03-02 14:30:00,1871200
1231,35.17,37.0,34.77,36.4,ok,2020-03-03 14:30:00,1792700
1232,35.95,36.0,34.84,35.61,ok,2020-03-04 14:30:00,1520800
1233,34.16,35.35,33.36,35.2,ok,2020-03-05 14:30:00,2145400
1234,34.98,35.17,32.7,33.16,ok,2020-03-06 14:30:00,2217400
1235,34.48,35.0,32.14,32.61,ok,2020-03-09 13:30:00,4248900
1236,35.87,39.14,33.66,38.17,ok,2020-03-10 13:30:00,7295100
1237,30.56,35.24,30.44,34.93,ok,2020-03-11 13:30:00,3985300
1238,27.0,29.12,25.77,28.95,ok,2020-03-12 13:30:00,3579300
1239,26.92,28.76,24.59,28.32,ok,2020-03-13 13:30:00,4193000
1240,21.19,23.51,20.51,23.5,ok,2020-03-16 13:30:00,3204600
1241,18.6,21.9,18.01,21.57,ok,2020-03-17 13:30:00,3390200
1242,16.87,19.14,13.46,18.04,ok,2020-03-18 13:30:00,4262100
1243,18.61,18.87,14.34,16.15,ok,2020-03-19 13:30:00,4300400
1244,16.81,18.91,16.6,18.65,ok,2020-03-20 13:30:00,3208000
1245,17.03,17.85,14.48,16.58,ok,2020-03-23 13:30:00,3854800
1246,19.55,19.92,17.51,18.53,ok,2020-03-24 13:30:00,3099700
1247,20.88,21.85,18.88,19.86,ok,2020-03-25 13:30:00,3460900
1248,21.99,23.1,20.56,21.32,ok,2020-03-26 13:30:00,2734400
1249,21.74,22.18,19.99,20.87,ok,2020-03-27 13:30:00,2153200
1250,22.14,22.23,19.82,21.39,ok,2020-03-30 13:30:00,2300200
1251,21.26,22.29,21.01,22.08,ok,2020-03-31 13:30:00,2000100
1252,17.78,20.23,17.67,19.83,ok,2020-04-01 13:30:00,2890700
1253,18.71,19.07,17.66,17.72,ok,2020-04-02 13:30:00,1570500
1254,18.32,18.47,17.52,18.35,ok,2020-04-03 13:30:00,2034800
1255,22.19,22.44,19.02,19.3,ok,2020-04-06 13:30:00,3831600
1256,23.85,26.14,23.49,24.24,ok,2020-04-07 13:30:00,4290000
1257,25.43,26.07,23.91,24.1,ok,2020-04-08 13:30:00,2580500
1258,27.58,27.78,26.08,26.5,ok,2020-04-09 13:30:00,4149000
